country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Spain,ESP,1999,,72040000,,,,6.34395E+11,2.31034814,15.475
Estonia,EST,1999,702000000,3181000,21.78004038,1780000,7.226742091,5756912266,3.296110897,11.573
Ethiopia,ETH,1999,176000000,115000,18.70398996,,3.075302338,7892973532,7.941448641,3.714
European Union,EUU,1999,1.91096E+11,622202305.7,8.197204213,312875355.6,8.618517976,7.93601E+12,2.157179181,10.19273678
Fragile and conflict affected situations,FCS,1999,,12500227.58,3.444470107,,6.09888011,4.00171E+11,4.843531588,
Finland,FIN,1999,2236000000,2454000,4.682748301,,6.884670551,1.35234E+11,1.162231557,11.693
Fiji,FJI,1999,365000000,544000,34.34188999,89000,7.861243612,1936459986,1.96867366,
France,FRA,1999,44551000000,,11.04995149,,8.659628153,1.48692E+12,0.537141639,11.981
Faroe Islands,FRO,1999,,,,,,1127684827,,
"Micronesia, Fed. Sts.",FSM,1999,13899999.62,16100.00038,,,,220140500,,
Gabon,GAB,1999,143000000,262000,5.152631701,187000,10.99807181,4662992036,-1.936603976,
United Kingdom,GBR,1999,,25394000,,53881000,,1.68783E+12,1.752950801,6.042
Georgia,GEO,1999,131000000,384000,23.97510981,373000,12.41493471,2800025883,19.19267582,13.8
Ghana,GHA,1999,325000000,373000,13.14033882,,3.846251815,7718109982,4.865397851,10.1
Gibraltar,GIB,1999,,,,,,,,
Guinea,GIN,1999,5800000.191,27000,0.77452133,,3.065246132,5046806783,,
"Gambia, The",GMB,1999,,96000,,,,814724032.1,3.812372054,
Guinea-Bissau,GNB,1999,,,,,,579365780.1,-2.086305132,
Equatorial Guinea,GNQ,1999,10000000,,,,,621117885.7,0.37226617,
Greece,GRC,1999,8839000000,12606000,35.36409499,,11.24731138,1.37131E+11,2.63663306,12.138
Grenada,GRD,1999,88000000,379000,40.3635437,,,482009370.4,0.577427639,
Greenland,GRL,1999,,,,,,1131555107,,9.03
Guatemala,GTM,1999,374000000,823000,10.74681762,485000,4.305876724,18318412251,5.213610586,
Guam,GUM,1999,,1162000,,,,,,13.95
Guyana,GUY,1999,109000000,75000,16.2856716,,11.76808266,694754988.3,7.538219399,
High income,HIC,1999,4.02119E+11,886282224.3,7.417279118,610109478.4,7.6030261,2.74176E+13,2.135108666,7.822881915
"Hong Kong SAR, China",HKG,1999,7343000000,11328000,3.930274265,53144000,7.367304823,1.65768E+11,-4.009433962,6.25
Honduras,HND,1999,214000000,428000,9.594691535,,5.511288181,6414520530,11.66374098,3.85
Heavily indebted poor countries (HIPC),HPC,1999,3134471547,7115930.802,11.47283073,,6.988491884,1.67809E+11,3.598898164,
Croatia,HRV,1999,2595000000,29215000,31.96266157,,8.263638577,23777026779,4.019138756,13.559
Haiti,HTI,1999,135000000,386000,25.41128638,,,4153725884,3.004394216,7.2
Hungary,HUN,1999,3622000000,28803000,13.14023792,10622000,5.479381702,49073380174,9.997744093,6.929
IBRD only,IBD,1999,,437116871.9,9.474761734,291678524.1,6.25348072,5.39838E+12,5.019970148,6.025037396
IDA & IBRD total,IBT,1999,,474501178.8,9.520975204,374300252.2,6.181903965,5.85021E+12,4.464354677,
IDA total,IDA,1999,8608755551,21509371.08,10.19383919,,5.394981168,4.51744E+11,4.142671373,
IDA blend,IDB,1999,3349137564,,8.100496877,,5.149475409,1.84664E+11,4.142637181,
Indonesia,IDN,1999,,4728000,,,,1.40001E+11,20.47783111,6.358
IDA only,IDX,1999,5073233525,10993029.86,,,5.545394979,2.68179E+11,4.578030154,
Isle of Man,IMN,1999,,,,,,1573742113,,0.8
India,IND,1999,,2482000,,4115000,,4.58821E+11,4.66982038,
Not classified,INX,1999,,,,,,,,
Ireland,IRL,1999,3403000000,6403000,,3576000,,98893958263,1.629886052,5.804
